
File: rev_1.13.sql Line: 291 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 134 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 295 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 134 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.14.sql Line: 295 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 94 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 150 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 315 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 94 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 150 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.15.sql Line: 315 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 62 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 94 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 150 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 315 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 62 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.16.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
